pf,n,k,p,L,G,r,lda,p_wy,s_wy,p_xy,s_xy,p_wx,s_wx,ami_yx,ami_xw,ami_yw,init_err,bcs_err,minc,maxc,cs_err
100,200,1,10,100,1000,0.2,45,0.85854417851369824,0.87268798653941038,0.97998024164932118,0.98000677615827603,0.84529043423510075,0.85478695873375354,0.4452594864599822,0.06829937297861878,0.072811108510887526,0.16861948395687998,0.33555873090068911,3.0767078806892556e-06,0.28875477982655307,1.0
100,200,1,10,100,1000,0.2,45,0.83537950321553922,0.85204149197486434,0.98361531269405611,0.98366551370206023,0.82869223659383873,0.84529403507846934,0.6050763187830448,0.41022581730666496,0.31406799197990265,0.24944660235717309,0.39102866972802064,6.1955131791524565e-07,0.29480483989311801,1.0
100,200,1,10,100,1000,0.2,45,0.78177693604540954,0.77525030976750386,0.98299284411196963,0.983727570757017,0.81235159936249179,0.8060478214176805,0.48806951938512061,0.07665561189088374,0.078291448378615583,0.05936858639598086,0.25544120858946973,2.2345416961222497e-07,0.22540753717293205,1.0
100,200,1,10,100,1000,0.2,45,0.83227913080477034,0.84425317468134564,0.99029112136936748,0.99149076331566477,0.84533662089934103,0.85792934536229959,0.4107992528871563,0.28045940000388447,0.1389581714139001,0.057593935924856066,0.20275336873480843,6.4115328182179354e-06,0.20037481083700293,1.0
100,200,1,10,100,1000,0.2,45,0.80508311033983004,0.82309696966583756,0.97896046879996057,0.98129669011756637,0.82605153113943386,0.84031220704291809,0.49806491210337994,0.38214471158202956,0.21095365577553796,0.061249979474821692,0.2234710160012513,1.9437775693909032e-05,0.36635640143877501,1.0
100,200,1,10,100,1000,0.2,65,0.82317249375786494,0.81910974496789946,0.96898536434252347,0.97326152714583025,0.84629572671433184,0.8344947996824158,0.3940477944186474,0.3242248283364933,0.1396268773012328,0.052452945843689536,0.22412461116899685,1.4508781829958295e-05,0.25045180822127722,1.0
100,200,1,10,100,1000,0.2,65,0.85845540938154952,0.87676202992076668,0.9713744143634786,0.97589787433777131,0.85743465787061801,0.87100891887495824,0.5059447379291161,0.2231177725395625,0.12277246261416971,-0.074632044618339277,0.16371363373533088,1.0755999818146122e-05,0.36181889442011228,1.0
100,200,1,10,100,1000,0.2,65,0.85112292193516115,0.86453759312411382,0.98948094999832337,0.9891390381375661,0.86302157725915929,0.88008398654691999,0.52229890658992773,0.36841992666663492,0.15721816612644149,0.064963313606077544,0.262651794833903,3.1103273830046518e-05,0.2021738895478542,1.0
100,200,1,10,100,1000,0.2,65,0.87550473519331096,0.89604037091332811,0.96931909971999419,0.9725135693833703,0.82714338960226297,0.84962520312016143,0.54823830469785695,0.28380015129329117,0.20418106750804085,0.12251883514762196,0.32809439674773333,8.0584855959298096e-06,0.22635394621422744,1.0
100,200,1,10,100,1000,0.2,65,0.81583994431658746,0.82286395836344328,0.98868663498025722,0.98881763201216943,0.85980021459402189,0.86653815676550838,0.5274784801546144,0.066375174151972111,0.078866448797477007,0.097127831628287753,0.22542240834854466,1.5910395705365232e-06,0.18704849339833762,1.0
100,200,1,10,100,1000,0.2,85,0.83674759935741649,0.84715875699073873,0.98942413146219854,0.9896289136256794,0.84651984391463153,0.85520084177186229,0.41714776106987067,0.3381555351992287,0.21262269168503906,0.51102698187591833,0.42694324670299399,4.1833299759819198e-06,0.35265969537987774,1.0
